Time: Clubes, Código: 
Time: vs Almere City, Código: 2b41acb5
Time: vs AZ Alkmaar, Código: 3986b791
Time: vs Feyenoord, Código: fb4ca611
Time: vs Fortuna Sittard, Código: bd08295c
Time: vs Go Ahead Eag, Código: e33d6108
Time: vs Groningen, Código: bec05adb
Time: vs Heerenveen, Código: 193ff7aa
Time: vs Heracles Almelo, Código: c882b88e
Time: vs NAC Breda, Código: 8ed04be8
Time: vs NEC Nijmegen, Código: fc629994
Time: vs PSV Eindhoven, Código: e334d850
Time: vs RKC Waalwijk, Código: bb14adb3
Time: vs Sparta R'dam, Código: 146a68ce
Time: vs Twente, Código: a1f721d3
Time: vs Utrecht, Código: 2a428619
Time: vs Willem II, Código: f0479d7b
Time: vs Zwolle, Código: e3db180b
Time: Botafogo (RJ), Código: d9fdd9d9
Time: Palmeiras, Código: abdce579
Time: Flamengo, Código: 639950ae
Time: Fortaleza, Código: a9d0ab0e
Time: Internacional, Código: 6f7e1f03
Time: São Paulo, Código: 5f232eb1
Time: Corinthians, Código: bf4acd28
Time: Bahia, Código: 157b7fee
Time: Cruzeiro, Código: 03ff5eeb
Time: Vasco da Gama, Código: 83f55dbe
Time: Atlético Mineiro, Código: 422bb734
Time: Fluminense, Código: 84d9701c
Time: Grêmio, Código: d5ae3703
Time: Juventude, Código: d081b697
Time: Red Bull Bragantino, Código: f98930d1
Time: Ath Paranaense, Código: 2091c619
Time: Criciúma, Código: 3f7595bb
Time: Atl Goianiense, Código: 32d508ca
Time: Cuiabá, Código: f0e6fb14
Time: vs Ath Paranaense, Código: 2091c619
Time: vs Atl Goianiense, Código: 32d508ca
Time: vs Atlético Mineiro, Código: 422bb734
Time: vs Bahia, Código: 157b7fee
Time: vs Botafogo (RJ), Código: d9fdd9d9
Time: vs Corinthians, Código: bf4acd28
Time: vs Criciúma, Código: 3f7595bb
Time: vs Cruzeiro, Código: 03ff5eeb
Time: vs Cuiabá, Código: f0e6fb14
Time: vs Flamengo, Código: 639950ae
Time: vs Fluminense, Código: 84d9701c
Time: vs Fortaleza, Código: a9d0ab0e
Time: vs Grêmio, Código: d5ae3703
Time: vs Internacional, Código: 6f7e1f03
Time: vs Juventude, Código: d081b697
Time: vs Palmeiras, Código: abdce579
Time: vs Red Bull Bragantino, Código: f98930d1
Time: vs São Paulo, Código: 5f232eb1
Time: vs Vasco da Gama, Código: 83f55dbe
Time: LA Galaxy, Código: d8b46897
Time: Inter Miami, Código: cb8b86a2
Time: Columbus Crew, Código: 529ba333
Time: FC Cincinnati, Código: e9ea41b2
Time: Orlando City, Código: 46ef01d0
Time: Charlotte, Código: eb57545a
Time: NYCFC, Código: 64e81410
Time: NY Red Bulls, Código: 69a0fb10
Time: CF Montréal, Código: fc22273c
Time: Atlanta Utd, Código: 1ebc1a5b
Time: D.C. United, Código: 44117292
Time: Toronto FC, Código: 130f43fa
Time: Philadelphia Union, Código: 46024eeb
Time: Nashville SC, Código: 35f1b818
Time: NE Revolution, Código: 3c079def
Time: Chicago Fire, Código: f9940243
Time: LAFC, Código: 81d817a3
Time: Real Salt Lake, Código: f7d86a43
Time: Seattle Sounders FC, Código: 6218ebd4
Time: Houston Dynamo, Código: 0d885416
Time: Minnesota Utd, Código: 99ea75a6
Time: Colorado Rapids, Código: 415b4465
Time: Vancouver W'caps, Código: ab41cb90
Time: Portland Timbers, Código: d076914e
Time: Austin, Código: b918956d
Time: FC Dallas, Código: 15cf8f40
Time: St. Louis, Código: bd97ac1f
Time: Sporting KC, Código: 4acb0537
Time: SJ Earthquakes, Código: ca460650
Time: vs Atlanta Utd, Código: 1ebc1a5b
Time: vs Austin, Código: b918956d
Time: vs CF Montréal, Código: fc22273c
Time: vs Charlotte, Código: eb57545a
Time: vs Chicago Fire, Código: f9940243
Time: vs Colorado Rapids, Código: 415b4465
Time: vs Columbus Crew, Código: 529ba333
Time: vs D.C. United, Código: 44117292
Time: vs FC Cincinnati, Código: e9ea41b2
Time: vs FC Dallas, Código: 15cf8f40
Time: vs Houston Dynamo, Código: 0d885416
Time: vs Inter Miami, Código: cb8b86a2
Time: vs LA Galaxy, Código: d8b46897
Time: vs LAFC, Código: 81d817a3
Time: vs Minnesota Utd, Código: 99ea75a6
Time: vs Nashville SC, Código: 35f1b818
Time: vs NE Revolution, Código: 3c079def
Time: vs NY Red Bulls, Código: 69a0fb10
Time: vs NYCFC, Código: 64e81410
Time: vs Orlando City, Código: 46ef01d0
Time: vs Philadelphia Union, Código: 46024eeb
Time: vs Portland Timbers, Código: d076914e
Time: vs Real Salt Lake, Código: f7d86a43
Time: vs Seattle Sounders FC, Código: 6218ebd4
Time: vs SJ Earthquakes, Código: ca460650
Time: vs Sporting KC, Código: 4acb0537
Time: vs St. Louis, Código: bd97ac1f
Time: vs Toronto FC, Código: 130f43fa
Time: vs Vancouver W'caps, Código: ab41cb90
Time: Racing Club, Código: 8e20e13d
Time: Rosario Central, Código: 87a920fa
Time: Banfield, Código: 06c1606c
Time: Cen. Córdoba–SdE, Código: 9aa97c75
Time: San Lorenzo, Código: 66da6009
Time: Independiente, Código: 40bb0ce9
Time: Estudiantes, Código: df734df9
Time: Deportivo Riestra, Código: b3d222b1
Time: Platense, Código: 3cbfa767
Time: River Plate, Código: ef99c78c
Time: Arg Juniors, Código: d01a653b
